Protein,Cluster
35 kDa protein,cluster3
Transcriptional regulator ClgR,cluster3
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,cluster3
Amino-acid acetyltransferase,cluster3
DNA translocase FtsK,cluster3
Ribonuclease J,cluster3
4-hydroxy-tetrahydrodipicolinate synthase,cluster3
Flavin-dependent thymidylate synthase,cluster3
Ribonuclease VapC21,cluster3
Antitoxin VapB21,cluster3
Ribonuclease VapC42,cluster3
Dihydrofolate reductase,cluster3
Thymidylate synthase ThyA,cluster3
3-alpha-hydroxycholanate dehydrogenase (NADP(+)),cluster3
4-hydroxy-tetrahydrodipicolinate reductase,cluster3
Phthalate dioxygenase reductase,cluster3
DNA-binding transcriptional activator DecR,cluster3
Alanine dehydrogenase,cluster3
Nitronate monooxygenase,cluster3
putative zinc protease,cluster3
Polyribonucleotide nucleotidyltransferase,cluster3
30S ribosomal protein S15,cluster3
Bifunctional riboflavin kinase/FMN adenylyltransferase,cluster3
HTH-type transcriptional regulator MntR,cluster3
IS607 family transposase IS1602,cluster3
tRNA pseudouridine synthase B,cluster3
4-phosphopantetheinyl transferase Npt,cluster3
Endoribonuclease MazF9,cluster3
Antitoxin MazE9,cluster3
ISNCY family transposase ISBli16,cluster4
IS481 family transposase ISChy3,cluster3
CRISPR-associated endoribonuclease Cas2,cluster8
CRISPR-associated endonuclease Cas1,cluster8
CRISPR system endoribonuclease Csm6,cluster8
CRISPR system Cms protein Csm5,cluster8
CRISPR system Cms protein Csm4,cluster3
CRISPR system Cms endoribonuclease Csm3,cluster3
CRISPR system Cms protein Csm2,cluster3
CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A),cluster3
CRISPR-associated endoribonuclease Cas6,cluster3
Ribonuclease VapC22,cluster3
Antitoxin VapB22,cluster3
putative arabinose-binding protein,cluster6
Diacetylchitobiose uptake system permease protein DasC,cluster3
Bifunctional oligoribonuclease and PAP phosphatase NrnA,cluster3
Ribosome-binding factor A,cluster3
Translation initiation factor IF-2,cluster3
Transcription termination/antitermination protein NusA,cluster3
Ribosome maturation factor RimP,cluster3
Proline--tRNA ligase,cluster3
putative MFS-type transporter EfpA,cluster3
putative malate:quinone oxidoreductase,cluster3
Mycothione reductase,cluster3
Nickel transporter NixA,cluster3
Hydrogenase maturation factor HypB,cluster0
Phenylacetaldehyde dehydrogenase,cluster3
Putative glutamine amidotransferase,cluster3
Glutamate--isopropylamine ligase,cluster3
Methionine aminopeptidase 2,cluster3
Antitoxin RelF,cluster3
Toxin RelG,cluster3
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),cluster3
Zinc metalloprotease Rip1,cluster3
1-deoxy-D-xylulose 5-phosphate reductoisomerase,cluster3
Ribonuclease VapC43,cluster3
Cell surface glycolipoprotein MPT83,cluster3
Protein DipZ,cluster3
Immunogenic protein MPT70,cluster3
Soluble secreted antigen MPT53,cluster3
putative dual-specificity RNA methyltransferase RlmN,cluster3
Phosphatidate cytidylyltransferase,cluster3
Ribosome-recycling factor,cluster3
Uridylate kinase,cluster3
IS607 family transposase IS1539,cluster3
Putative amidase AmiC,cluster3
Elongation factor Ts,cluster3
30S ribosomal protein S2,cluster3
Putative DNA processing protein DprA,cluster3
Competence protein ComM,cluster3
Sulfur carrier protein FdhD,cluster3
Ribonuclease HII,cluster3
Signal peptidase I,cluster3
50S ribosomal protein L19,cluster3
Putative lipoprotein LppW,cluster3
tRNA (guanine-N(1)-)-methyltransferase,cluster3
Ribosome maturation factor RimM,cluster3
30S ribosomal protein S16,cluster3
D-alanyl-D-alanine carboxypeptidase DacB,cluster3
Serine/threonine-protein kinase PknI,cluster3
Signal recognition particle protein,cluster3
Bifunctional uridylyltransferase/uridylyl-removing enzyme,cluster3
Nitrogen regulatory protein P-II,cluster3
Ammonia channel,cluster3
Signal recognition particle receptor FtsY,cluster3
Chromosome partition protein Smc,cluster3
Formamidopyrimidine-DNA glycosylase 1,cluster3
Ribonuclease 3,cluster3
putative thioesterase TesA,cluster3
Long-chain-fatty-acid--AMP ligase FadD26,cluster3
Phthiocerol synthesis polyketide synthase type I PpsA,cluster5
Phthiocerol synthesis polyketide synthase type I PpsB,cluster3
Phthiocerol synthesis polyketide synthase type I PpsC,cluster3
Phthiocerol synthesis polyketide synthase type I PpsD,cluster3
Phthiocerol synthesis polyketide synthase type I PpsE,cluster3
Doxorubicin resistance ATP-binding protein DrrA,cluster3
Doxorubicin resistance ABC transporter permease protein DrrB,cluster3
putative doxorubicin resistance ABC transporter permease protein DrrC,cluster3
Phthiocerol/phthiodiolone dimycocerosyl transferase,cluster3
Mycocerosic acid synthase,cluster3
Long-chain-fatty-acid--AMP ligase FadD28,cluster3
Phthiocerol dimycocerosate exporter MmpL7,cluster3
Putative phthiocerol dimycocerosate transporter LppX,cluster3
p-hydroxybenzoic acid--AMP ligase FadD22,cluster3
Chorismate pyruvate-lyase,cluster3
4-hydroxyphenylalkanoate adenylyltransferase,cluster3
Phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase,cluster3
Trans-acting enoyl reductase,cluster3
PGL/p-HBAD biosynthesis glycosyltransferase,cluster0
Rhamnosyl O-methyltransferase,cluster3
PGL/p-HBAD biosynthesis rhamnosyltransferase,cluster3
Putative permease,cluster3
Formyltetrahydrofolate deformylase,cluster3
Phosphopantetheine adenylyltransferase,cluster3
Ribosomal RNA small subunit methyltransferase D,cluster3
Pyruvate carboxylase,cluster3
ATP-dependent DNA helicase RecG,cluster3
50S ribosomal protein L28,cluster0
Uracil-DNA glycosylase,cluster3
Thiamine-monophosphate kinase,cluster3
IS607 family transposase IS1538,cluster3
D-alanine--D-alanine ligase,cluster3
Glycerol-3-phosphate dehydrogenase [NAD(P)+],cluster3
Phosphoenolpyruvate guanylyltransferase,cluster3
Polyphosphate kinase,cluster3
putative 8-oxo-dGTP diphosphatase 1,cluster3
DNA-binding protein HU,cluster3
3-isopropylmalate dehydratase small subunit,cluster3
3-isopropylmalate dehydratase large subunit,cluster3
Transcriptional regulator KdgR,cluster3
Glutamate--tRNA ligase,cluster3
3-isopropylmalate dehydrogenase,cluster3
D-3-phosphoglycerate dehydrogenase,cluster3
Ketol-acid reductoisomerase (NADP(+)),cluster3
Putative acetolactate synthase small subunit,cluster3
Acetolactate synthase large subunit IlvB1,cluster3
Low molecular weight protein antigen 6,cluster3
FMN reductase (NADH) RutF,cluster3
Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,cluster3
ATP-dependent 6-phosphofructokinase,cluster3
Glutamyl-tRNA(Gln) amidotransferase subunit A,cluster3
Glutamyl-tRNA(Gln) amidotransferase subunit C,cluster3
DNA ligase A,cluster3
putative PPE family protein PPE47/PPE48,cluster0
ESAT-6-like protein EsxR,cluster8
ESAT-6-like protein EsxS,cluster8
tRNA-specific 2-thiouridylase MnmA,cluster3
IscS-like cysteine desulfurase,cluster3
Electron transfer flavoprotein subunit alpha,cluster3
Electron transfer flavoprotein subunit beta,cluster3
putative S-adenosylmethionine-dependent methyltransferase,cluster3
Glycogen synthase,cluster3
Putative acetyltransferase,cluster3
putative enoyl-CoA hydratase echA17,cluster3
putative ABC transporter ATP-binding protein YlmA,cluster3
Phosphoserine phosphatase SerB2,cluster3
putative cytochrome c oxidase subunit 1,cluster3
putative siderophore-binding lipoprotein YfiY,cluster3
NADP-dependent alcohol dehydrogenase C,cluster3
Ribonucleoside-diphosphate reductase subunit beta nrdF2,cluster3
Ribonucleoside-diphosphate reductase subunit alpha,cluster3
Protein NrdI,cluster3
Glutaredoxin-like protein NrdH,cluster3
HTH-type transcriptional regulator EthR,cluster0
Putative cytochrome P450 136,cluster3
DNA ligase B,cluster3
Peptide transporter CstA,cluster3
Multidrug resistance protein Mmr,cluster3
HTH-type transcriptional regulator RcdA,cluster3
Putative fluoride ion transporter CrcB 1,cluster3
Putative fluoride ion transporter CrcB,cluster3
Hydroxylaminobenzene mutase HabA,cluster3
Serine/threonine-protein kinase PknK,cluster3
HTH-type transcriptional regulator VirS,cluster0
Putative FAD-containing monooxygenase MymA,cluster3
Putative acetyl-hydrolase LipR,cluster3
Putative alcohol dehydrogenase D,cluster3
putative diacyglycerol O-acyltransferase Tgs4,cluster3
Putative toxinA/RVBD_3098A,cluster3
SsrA-binding protein,cluster3
Cell division protein FtsX,cluster3
Cell division ATP-binding protein FtsE,cluster3
putative MscS family protein YkuT,cluster3
Peptide chain release factor 2,cluster3
NADPH-ferredoxin reductase FprA,cluster3
Cyclic pyranopterin monophosphate synthase 1,cluster0
Phosphoglycolate phosphatase,cluster3
putative adenylyltransferase/sulfurtransferase MoeZ,cluster0
Molybdopterin synthase catalytic subunit 1,cluster3
Putative cytochrome P450 141,cluster3
Transcriptional regulatory protein MoaR1,cluster3
putative diacyglycerol O-acyltransferase tgs1,cluster3
Putative NAD(P)H nitroreductase,cluster3
Oxygen sensor histidine kinase response regulator DevS/DosS,cluster3
DNA-binding transcriptional activator DevR/DosR,cluster3
putative response regulatory protein,cluster3
NADH-quinone oxidoreductase subunit B,cluster3
NADH-quinone oxidoreductase subunit C,cluster3
NADH-quinone oxidoreductase subunit D,cluster3
NADH-quinone oxidoreductase subunit E,cluster3
NADH-quinone oxidoreductase subunit F,cluster3
NADH-quinone oxidoreductase subunit G,cluster3
NADH-quinone oxidoreductase subunit H,cluster3
NADH-quinone oxidoreductase subunit I,cluster3
NADH-quinone oxidoreductase subunit 11,cluster3
NADH-quinone oxidoreductase subunit L,cluster3
NADH-quinone oxidoreductase subunit M,cluster3
NADH-quinone oxidoreductase subunit N,cluster3
Carnitine monooxygenase oxygenase subunit,cluster3
ATPase RavA,cluster3
Putative aminoglycoside phosphotransferase,cluster3
Putative flavin-containing monoamine oxidase AofH,cluster3
Haloalkane dehalogenase,cluster3
Deazaflavin-dependent nitroreductase,cluster0
Ribonuclease VapC49,cluster3
Putative antitoxin VapB49,cluster3
putative protein YlbL,cluster3
protein kinase UbiB,cluster3
putative transcriptional regulator WhiB7,cluster3
ATP-dependent DNA helicase UvrD2,cluster3
Putative glutaredoxin.1,cluster3
NADH pyrophosphatase,cluster3
Glutathione-regulated potassium-efflux system protein KefC,cluster3
ATP-dependent DNA helicase Rep,cluster0
Lipase LipV,cluster3
DNA base-flipping protein,cluster3
Acid phosphatase,cluster3
Putative isochorismate synthase MenF,cluster3
lipid kinase YegS,cluster3
Transcriptional regulator WhiB1,cluster3
putative sensor histidine kinase pdtaS,cluster3
Biotinylated protein TB7.3,cluster3
Anti-sigma factor RshA,cluster3
ECF RNA polymerase sigma factor SigH,cluster3
SOS response-associated protein YedK,cluster3
3-phosphoshikimate 1-carboxyvinyltransferase,cluster3
Small ribosomal subunit biogenesis GTPase RsgA,cluster3
NADPH-dependent stearoyl-CoA 9-desaturase,cluster3
NADPH oxidoreductase,cluster3
Polyphosphate:GDP phosphotransferase,cluster3
putative diacyglycerol O-acyltransferase tgs3,cluster1
K(+)/H(+) antiporter subunit KhtU,cluster3
Ammonium/H(+) antiporter subunit AmhM,cluster3
Methanethiol S-methyltransferase,cluster3
Protein translocase subunit SecA 1,cluster3
Ribosome hibernation promotion factor,cluster3
Lipoprotein LpqB,cluster3
Sensor histidine kinase MtrB,cluster3
DNA-binding response regulator MtrA,cluster3
Thymidylate kinase,cluster3
Alkane 1-monooxygenase,cluster3
Mannose-6-phosphate isomerase,cluster3
Transcriptional regulator WhiB,cluster3
Phosphoenolpyruvate transferase,cluster3
Bifunctional F420 biosynthesis protein FbiB,cluster3
Modification methylase Eco57IB,cluster3
N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase,cluster3
dTDP-4-dehydrorhamnose reductase,cluster3
Cell wall biosynthesis protein LcpA,cluster0
Manganese-exporting P-type ATPase,cluster3
putative fatty acyl-CoA transferase,cluster3
putative acyl-CoA dehydrogenase fadE25,cluster3
N5-carboxyaminoimidazole ribonucleotide mutase,cluster3
N5-carboxyaminoimidazole ribonucleotide synthase,cluster3
Bifunctional ligase/repressor BirA,cluster3
Nucleoside triphosphate pyrophosphatase,cluster3
Putative thiosulfate sulfurtransferase SseA,cluster3
putative SufE-like protein,cluster3
RNA polymerase sigma factor SigF,cluster3
Anti-sigma-F factor RsbW,cluster3
putative L-lysine-epsilon aminotransferase,cluster3
Succinate-semialdehyde dehydrogenase [NADP(+)],cluster3
ATP-dependent RNA helicase SrmB,cluster3
Glycerol-3-phosphate dehydrogenase 2,cluster3
NAD(P)H dehydrogenase (quinone),cluster3
N-acetylcysteine deacetylase,cluster3
N-acetyldiaminopimelate deacetylase,cluster3
Purine nucleoside phosphorylase,cluster3
putative phosphomannomutase,cluster3
Uracil phosphoribosyltransferase,cluster3
Adenosine deaminase,cluster3
Thymidine phosphorylase,cluster3
Cytidine deaminase,cluster3
Succinate dehydrogenase 2 membrane subunit SdhC,cluster3
Succinate dehydrogenase iron-sulfur subunit,cluster3
Ribonuclease VapC44,cluster3
ECF RNA polymerase sigma factor SigJ,cluster3
putative metabolite transport protein CsbC,cluster6
N-acetylgalactosamine-6-phosphate deacetylase,cluster3
Mercuric resistance operon regulatory protein,cluster3
Inner membrane protein YhjD,cluster3
Tryptophan--tRNA ligase,cluster3
Isocitrate dehydrogenase [NADP],cluster3
O-acetyl-L-homoserine sulfhydrylase,cluster3
Homoserine O-acetyltransferase,cluster3
Bifunctional protein FolD protein,cluster3
Antitoxin RelJ,cluster3
Toxin RelK,cluster3
Metal reductase,cluster3
Pentapeptide repeat protein MfpA,cluster3
Serine protease inhibitor,cluster3
tRNA (cytidine(34)-2-O)-methyltransferase,cluster3
Error-prone DNA polymerase,cluster3
Trehalose-phosphate phosphatase,cluster3
Short-chain-enoyl-CoA hydratase,cluster0
Type B diterpene cyclase,cluster3
Diterpene synthase,cluster3
4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1,cluster3
Ribonuclease VapC46,cluster3
Antitoxin VapB46,cluster3
ISNCY family transposase ISMav10,cluster3
Cyclopropane mycolic acid synthase 1,cluster3
Pyrimidine-specific ribonucleoside hydrolase RihA,cluster3
DNA polymerase IV,cluster3
GMP synthase [glutamine-hydrolyzing],cluster3
Phytoene synthase,cluster3
Alpha-ketoglutarate-dependent sulfate ester dioxygenase,cluster3
Antitoxin VapB47,cluster3
Ribonuclease VapC47,cluster3
Cholesterol oxidase,cluster3
Anti-sigma-D factor RsdA,cluster3
ECF RNA polymerase sigma factor SigD,cluster3
Redox- and pH-responsive transcriptional regulator WhiB3,cluster3
60 kDa chaperonin 1,cluster3
10 kDa chaperonin,cluster3
tRNA N6-adenosine threonylcarbamoyltransferase,cluster3
N-alpha-acetyltransferase RimI,cluster3
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,cluster3
Alanine racemase,cluster3
PPE family protein PPE57,cluster4
IS256 family transposase ISRo1,cluster3
Glutamate decarboxylase,cluster3
Bifunctional NAD(P)H-hydrate repair enzyme Nnr,cluster3
Glutamine--fructose-6-phosphate aminotransferase [isomerizing],cluster3
Phosphoglucosamine mutase,cluster3
30S ribosomal protein S9,cluster3
50S ribosomal protein L13,cluster3
ESAT-6-like protein EsxT,cluster3
ESX secretion system protein EccC,cluster3
ESX-1 secretion system protein EccD1,cluster0
putative cutinase cut3,cluster0
tRNA pseudouridine synthase A,cluster3
50S ribosomal protein L17,cluster3
DNA-directed RNA polymerase subunit alpha,cluster3
30S ribosomal protein S4,cluster3
30S ribosomal protein S11,cluster3
30S ribosomal protein S13,cluster3
Translation initiation factor IF-1,cluster3
4-hydroxy-2-oxovalerate aldolase,cluster0
Putative acetolactate synthase large subunit IlvB2,cluster3
Alpha-ketoglutarate permease,cluster3
Carboxylesterase LipF,cluster3
Trehalose-6-phosphate synthase,cluster3
Acyl-CoA dehydrogenase FadE26,cluster3
Acyl-CoA dehydrogenase FadE27,cluster0
Putative acetolactate synthase large subunit IlvX,cluster3
Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase,cluster3
Steroid C26-monooxygenase,cluster0
Putative coenzyme F420-dependent oxidoreductase,cluster0
Protein YrdA,cluster3
3-oxoacyl-[acyl-carrier-protein] reductase FabG,cluster3
Acetaldehyde dehydrogenase,cluster3
3-oxosteroid 1-dehydrogenase,cluster3
Acyl-CoA dehydrogenase FadE29,cluster3
Steroid 3-ketoacyl-CoA thiolase,cluster3
Putative CoA-transferase subunit alpha,cluster3
Putative CoA-transferase subunit beta,cluster3
NADH:quinone reductase,cluster3
Beta-ketoadipyl-CoA thiolase,cluster3
Arylamine N-acetyltransferase,cluster3
Iron-dependent extradiol dioxygenase,cluster3
HTH-type transcriptional repressor KstR,cluster3
HTH-type transcriptional regulator IpsA,cluster3
Arsenical pump membrane protein,cluster3
putative tRNA/rRNA methyltransferase,cluster3
Cysteine--tRNA ligase,cluster3
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,cluster3
RNA polymerase-binding transcription factor CarD,cluster3
Putative lipoprotein LpqE,cluster3
DNA repair protein RadA,cluster3
DNA integrity scanning protein DisA,cluster3
Carbonic anhydrase 2,cluster3
Adenine DNA glycosylase,cluster3
Heme oxygenase (mycobilin-producing),cluster3
ATP-dependent Clp protease ATP-binding subunit ClpC1,cluster3
Nucleoid-associated protein Lsr2,cluster3
Lysine--tRNA ligase 1,cluster3
Type III pantothenate kinase,cluster3
Aspartate 1-decarboxylase,cluster3
Pantothenate synthetase,cluster3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,cluster3
Dihydroneopterin aldolase,cluster3
Dihydropteroate synthase,cluster3
GTP cyclohydrolase 1,cluster3
ESX-1 secretion-associated protein EspD,cluster3
ESX-1 secretion-associated protein EspC,cluster3
ESX-1 secretion-associated protein EspA,cluster3
Hypoxanthine-guanine phosphoribosyltransferase,cluster3
tRNA(Ile)-lysidine synthase,cluster3
Inorganic pyrophosphatase,cluster3
Polyprenol monophosphomannose synthase,cluster3
UDP-glucose 4-epimerase,cluster3
IS21 family transposase ISAau2,cluster3
IS256 family transposase IS1553,cluster3
putative protein adenylyltransferase Fic,cluster3
DNA topoisomerase 1,cluster3
putative cold shock protein A,cluster3
PE-PGRS family protein PE_PGRS61,cluster3
Apoptosis inhibitor,cluster0
Putative conjugal transfer protein,cluster3
putative phosphatase,cluster3
Glutathione import ATP-binding protein GsiA,cluster3
Oligopeptide transport system permease protein OppC,cluster3
Dipeptide transport system permease protein DppB,cluster3
Oligopeptide-binding protein OppA,cluster3
Acetyl-coenzyme A synthetase,cluster3
putative Nudix hydrolase NudL,cluster3
Endonuclease III,cluster3
CRP-like cAMP-activated global transcriptional regulator,cluster3
Putative ATPase,cluster3
Transcriptional regulator WhiB4,cluster3
Biosynthetic peptidoglycan transglycosylase,cluster3
N-(2-amino-2-carboxyethyl)-L-glutamate synthase,cluster3
Putative cytochrome P450 137,cluster3
Anti-sigma-F factor antagonist RsfB,cluster3
putative protein YqeY,cluster3
Glycerol kinase,cluster3
Ribonuclease VapC48,cluster3
putative hercynylcysteine sulfoxide lyase,cluster3
Histidine N-alpha-methyltransferase,cluster3
Hercynine oxygenase,cluster3
Glutamate--cysteine ligase EgtA,cluster3
Aspartate-semialdehyde dehydrogenase,cluster3
2-isopropylmalate synthase,cluster3
Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT,cluster3
Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD,cluster3
Recombination protein RecR,cluster3
Nucleoid-associated protein,cluster3
N-acetylmuramoyl-L-alanine amidase,cluster3
putative fatty acid methyltransferase,cluster3
DNA polymerase III subunit gamma/tau,cluster3
Putative aminotransferase/MSMEI_6121,cluster3
Lipid uptake coordinator A,cluster3
L-threonine 3-dehydrogenase,cluster3
Multifunctional non-homologous end joining protein LigD,cluster3
DNA ligase C,cluster3
putative diacyglycerol O-acyltransferase tgs2,cluster3
putative cation-transporting P-type ATPase J,cluster3
HTH-type transcriptional regulator NmtR,cluster3
PE family immunomodulator PE35,cluster0
Putative ribonuclease VapC50,cluster3
Prephenate dehydrogenase,cluster3
Choline transport system permease protein OpuBB,cluster3
Choline transport ATP-binding protein OpuBA,cluster3
Glycine betaine-binding protein YehZ,cluster3
Putative alkyl/aryl-sulfatase YjcS,cluster3
Lipoprotein LpqH,cluster3
Putative phenylalanine aminotransferase,cluster3
Bacterial proteasome activator,cluster3
Teichoic acids export ATP-binding protein TagH,cluster3
Galactofuranosyltransferase GlfT1,cluster3
Arabinogalactan biosynthesis recruiting protein,cluster3
Decaprenylphosphoryl-beta-D-ribose oxidase,cluster3
Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase,cluster3
Galactan 5-O-arabinofuranosyltransferase,cluster3
putative arabinosyltransferase C,cluster3
putative arabinosyltransferase A,cluster3
putative arabinosyltransferase B,cluster3
MPT51/MPB51 antigen,cluster3
Diacylglycerol acyltransferase/mycolyltransferase Ag85A,cluster3
Terminal beta-(1->2)-arabinofuranosyltransferase,cluster3
Decaprenyl-phosphate phosphoribosyltransferase,cluster3
Putative decaprenylphosphoryl-5-phosphoribose phosphatase,cluster3
Galactofuranosyltransferase GlfT2,cluster3
UDP-galactopyranose mutase,cluster3
Exported repetitive protein,cluster3
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU,cluster3
Aminoglycoside 3-phosphotransferase,cluster3
Putative Rieske 2Fe-2S iron-sulfur protein,cluster3
Trehalose-2-sulfate acyltransferase papA2,cluster3
SL1278 acyltransferase Chp1,cluster3
SL659 acyltransferase papA1,cluster3
Phthioceranic/hydroxyphthioceranic acid synthase,cluster3
Long-chain-fatty-acid--CoA ligase FadD23,cluster3
IS607 family transposase IS1537,cluster3
HTH-type transcriptional regulator NimR,cluster3
Serine--tRNA ligase,cluster3
Prephenate dehydratase,cluster3
putative cell wall biosynthesis protein LcpB,cluster3
Ferritin BfrB,cluster3
putative glycerophosphodiester phosphodiesterase 1,cluster3
Superoxide dismutase [Fe],cluster3
Nucleoid-associated protein EspR,cluster3
Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,cluster3
phosphatase YcdX,cluster3
Glutamate synthase [NADPH] small chain,cluster3
Glutamate synthase [NADPH] large chain,cluster3
ESX-1 secretion-associated protein EspI,cluster4
putative transcriptional regulator WhiB6,cluster3
ESX-1 secretion-associated protein EspE,cluster3
ESX-1 secretion-associated protein EspF,cluster3
ESX-1 secretion-associated protein EspG1,cluster3
ESX-1 secretion-associated protein EspH,cluster3
ESX-1 secretion system protein EccA1,cluster3
ESX-1 secretion system ATPase EccB1,cluster3
ESX-1 secretion system protein EccCa1,cluster3
ESX-1 secretion system protein EccCb1,cluster3
PPE family immunomodulator PPE68,cluster3
ESAT-6-like protein EsxB,cluster3
6 kDa early secretory antigenic target,cluster3
ESX-1 secretion-associated protein EspJ,cluster3
ESX-1 secretion-associated protein EspK,cluster3
ESX-1 secretion-associated protein EspL,cluster3
ESX-1 secretion-associated protein EspB,cluster3
ESX-1 secretion system protein EccE1,cluster3
ESX-2 secretion system protein EccA2,cluster3
ESX-2 secretion system protein EccE2,cluster3
ESX-2 secretion system protein eccD2,cluster3
ESAT-6-like protein EsxC,cluster3
ESAT-6-like protein EsxD,cluster3
ESX-2 secretion system ATPase EccB2,cluster3
Immunity factor for TNT,cluster3
Outer membrane channel protein CpnT,cluster3
ESAT-6-like protein EsxE,cluster3
ESAT-6-like protein EsxF,cluster3
CCA-adding enzyme,cluster3
Putative mutator protein MutT4,cluster3
putative peptidoglycan biosynthesis protein MviN,cluster3
ECF RNA polymerase sigma factor SigM,cluster3
Anti-sigma-M factor RsmA,cluster3
Thioredoxin reductase,cluster3
N-acetylmuramoyl-L-alanine amidase CwlM,cluster3
putative chromosome-partitioning protein ParB,cluster3
Nitrogenase iron protein,cluster3
Ribosomal RNA small subunit methyltransferase G,cluster3
Membrane protein insertase YidC,cluster3
Formate hydrogenlyase subunit 5,cluster3
Histidine biosynthesis bifunctional protein HisB,cluster3
Antitoxin VapB25,cluster5
Chaperone protein HscA,cluster6
putative xanthine dehydrogenase subunit A,cluster3
Dysfunctional anti-sigma-K factor RskA,cluster6
HTH-type transcriptional repressor NagR,cluster3
Phosphate-binding protein PstS2,cluster6
Phosphate-binding protein PstS1,cluster6
ESAT-6-like protein EsxK,cluster3
Diacetyl reductase [(S)-acetoin forming],cluster8
putative PPE family protein PPE37,cluster3
GTP cyclohydrolase 1 type 2,cluster3
2-oxoglutarate oxidoreductase subunit KorB,cluster3
Antitoxin MazE,cluster5
Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsA,cluster3
Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsB,cluster6
Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE,cluster6
IS21 family transposase ISMbo1,cluster8
tRNA U34 carboxymethyltransferase,cluster3
Inner membrane protein YedI,cluster8
Galactose-proton symporter,cluster3
Crotonyl-CoA hydratase,cluster6
Aspartate/prephenate aminotransferase,cluster3
26 kDa periplasmic immunogenic protein,cluster6
Serine protease,cluster5
Glutamate--cysteine ligase,cluster6
putative ABC transporter ATP-binding protein YheS,cluster6
Putative isocitrate lyase subunit A,cluster1
sn-glycerol-3-phosphate-binding periplasmic protein UgpB,cluster3
putative PPE family protein PPE50,cluster1
IS21 family transposase ISMt2,cluster5
putative PE-PGRS family protein PE_PGRS54,cluster6
PE-PGRS family protein PE_PGRS30,cluster5
Antitoxin VapB,cluster6
Insertion sequence IS5376 putative ATP-binding protein,cluster6
Bifunctional protein PaaZ,cluster6
Nitrate/nitrite transporter NarU,cluster6
23S ribosomal RNA (partial),cluster6
putative endoribonuclease MazF7,cluster5
Antitoxin VapB39,cluster6
Oxidoreductase UcpA,cluster6
K(+)/H(+) antiporter subunit KhtT,cluster6
Kynurenine 3-monooxygenase,cluster6
IS110 family transposase ISAzo28,cluster6
IS110 family transposase ISCps4,cluster6
Propionyl-CoA carboxylase beta chain,cluster6
putative transport protein HsrA,cluster6
Aminodeoxychorismate synthase component 1,cluster6
Mitomycin radical oxidase,cluster6
Insertion element IS6110 uncharacterized 12.0 kDa protein,cluster6
putative endopeptidase,cluster6
Glycyl-glycine endopeptidase LytM,cluster6
ATP-dependent (S)-NAD(P)H-hydrate dehydratase,cluster6
Putative cytochrome bd menaquinol oxidase subunit I,cluster6
Sulfate transport system permease protein CysT,cluster6
Caffeyl-CoA reductase-Etf complex subunit CarC,cluster6
7-alpha-hydroxysteroid dehydrogenase,cluster6
Protein flp,cluster5
Sensor histidine kinase RcsC,cluster6
Serine protease Do-like HtrA,cluster6
Formamidopyrimidine-DNA glycosylase,cluster6
IS3 family transposase IS1141,cluster6
NAD(P)H-hydrate epimerase,cluster6
Vitamin B12 import ATP-binding protein BtuD,cluster6
HTH-type transcriptional regulator LrpC,cluster6
Crotonobetaine/carnitine--CoA ligase,cluster6
Beta-ketoacyl-[acyl-carrier-protein] synthase FabY,cluster6
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,cluster6
Urocanate reductase,cluster6
Putative aldehyde dehydrogenase AldY,cluster6
N-acetylglucosamine-6-phosphate deacetylase,cluster6
Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,cluster6
Periplasmic murein peptide-binding protein,cluster6
D-alanyl-D-alanine carboxypeptidase,cluster6
Formyl-CoA:oxalate CoA-transferase,cluster6
2-keto-4-pentenoate hydratase,cluster6
Rhomboid protease GluP,cluster6
putative oxidoreductase YohF,cluster6
Betaine aldehyde dehydrogenase,cluster6
NAD/NADP-dependent betaine aldehyde dehydrogenase,cluster6
ESAT-6-like protein EsxU,cluster6
Non-specific ribonucleoside hydrolase RihC,cluster6
60 kDa chaperonin,cluster6
Ribonuclease P protein component,cluster6
Putative antitoxin VapB38,cluster6
